Attraction Name,Province,City,District,Region,Address,Longitude,Latitude,Category,Core Category,Theme Tags,Scenic Level,Nearby Transport,Opening Hours,Ticket Price,Fee Type,Ticket Purchase,Suggested Duration,Best Visit Months,Suitable For,Introduction,Selling Points,Photo URL,
Qu Memorial Hall,Zhejiang Province,Quzhou City,Jiangshan City,East China,"No. 430 Beilu, Jiangshan District, Quzhou City, Zhejiang Province",114.915923,38.993653,Museum,Museum,Photography|Leisure,3A,"Bus: Route 12, Route 96 | Self-drive: Navigate to Qu Memorial Hall | Taxi/Ride-hailing: Directly locate",Open All Day,￥120,Paid,Official WeChat Official Account reservation | Dianping APP search for ticket purchase | Ctrip APP search for scenic spot name to buy tickets,1-2 hours,Suitable all year round,Family-friendly,"Qu Memorial Hall is a landmark museum attraction in Quzhou City, with a long history and profound cultural heritage.",Long history|Museum features|Cultural heritage|Visitor praise,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/衢纪念馆.webp,
Qu Shanshui Scenic Area,Zhejiang Province,Quzhou City,Jiangshan City,East China,"No. 83 Xilu, Jiangshan District, Quzhou City, Zhejiang Province",116.801778,40.815966,Natural scenery,Natural scenery,Culture|History,3A,"Bus: Route 33, Route 79 | Self-drive: Navigate to Qu Shanshui Scenic Area | Taxi/Ride-hailing: Directly locate",Open All Day,￥50,Paid,Baidu Maps APP scenic spot ticket purchase | Fliggy APP search for scenic spot name to buy tickets | Official WeChat Official Account reservation,1-2 hours,Autumn: September–November,Family-friendly,"Qu Shanshui Scenic Area is a well-known natural landscape attraction in Quzhou City, with a beautiful environment, ideal for leisure and vacation.",Unique scenery|Natural landscape experience|Complete facilities|High-quality service,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/衢山水景区.webp,
Qu Shanshui Scenic Area,Zhejiang Province,Quzhou City,Jiangshan City,East China,"No. 644 Beilu, Jiangshan District, Quzhou City, Zhejiang Province",111.58908,36.687764,Natural scenery,Natural scenery,Photography|Leisure,4A,"Bus: Route 15, Route 88 | Self-drive: Navigate to Qu Shanshui Scenic Area | Taxi/Ride-hailing: Directly locate",Open All Day,￥80,Paid,Scenic area official WeChat public account reservation | Dianping APP search for ticket purchase | Scenic area official website online booking,1-2 hours,Summer: June–August,Photography enthusiasts,"Qu Shanshui Scenic Area is a famous natural landscape attraction in Quzhou City, with beautiful scenery, a must-visit for tourists.",Natural landscape representative|Landmark attraction|Must-visit|Unforgettable experience,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/衢山水景区.webp,
Qu Le Yuan,Zhejiang Province,Quzhou City,Jiangshan City,East China,"No. 795 Nanlu, Jiangshan District, Quzhou City, Zhejiang Province",113.9938,40.862564,Theme park,Theme park,Culture|History,3A,"Bus: Route 5, Route 96 | Self-drive: Navigate to Qu Le Yuan | Taxi/Ride-hailing: Directly locate",Open All Day,￥100,Paid,Gaode Map APP scenic spot ticket reservation | Douyin APP search for scenic spot name group purchase | Official WeChat public account reservation,2-4 hours,Spring: March–May,Couples,"Qu Le Yuan is a landmark theme park attraction in Quzhou City, with a long history and profound cultural heritage.",Natural ecology|Theme park scenery|Parent-child friendly|High cost-effectiveness,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/衢乐园.webp,
Qu Ancient Town,Zhejiang Province,Quzhou City,Jiangshan City,East China,"No. 369 Nanlu, Jiangshan District, Quzhou City, Zhejiang Province",117.265068,37.672093,Historical and cultural,Historical and cultural,Photography|Leisure,5A,"Bus: Route 17, 98 | Self-drive: Navigate to Qu Ancient Town | Taxi/Ride-hailing: Directly locate",08:30-17:30,￥50,Paid,Fliggy APP: Search scenic area name to purchase tickets | Meituan APP: Search scenic area name to reserve | Amap APP: Scenic spot ticket booking,Half day,Summer: June–August,Culture enthusiasts,"Qu Ancient Town is an iconic historical and cultural attraction in Quzhou City, with a long history and profound cultural heritage.",Long history|Historical and cultural features|Cultural heritage|Tourist praise,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/衢古镇.webp,
Qu Hot Springs,Zhejiang Province,Quzhou City,Jiangshan City,East China,"No. 109 Beilu, Jiangshan District, Quzhou City, Zhejiang Province",119.398284,40.818368,Leisure vacation,Leisure vacation,Culture|History,Other,"Bus: Route 30, 80 | Self-drive: Navigate to Qu Hot Springs | Taxi/Ride-hailing: Directly locate",Open All Day,￥50,Paid,Search for the scenic spot name on Ctrip APP to purchase tickets | Book scenic spot tickets via Amap APP | Purchase scenic spot tickets via Baidu Maps APP,Half day,Autumn: September–November,All ages,"Qu Hot Springs is an iconic leisure and vacation attraction in Quzhou City, with a long history and profound cultural heritage.",Unique scenery|Leisure vacation experience|Complete facilities|High-quality service,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/衢温泉.webp,
Quzhou City Park,Zhejiang Province,Quzhou City,Jiangshan City,East China,"No. 627 Nanlu, Jiangshan District, Quzhou City, Zhejiang Province",112.289673,41.576295,Garden Park,Garden Park,Family|Educational Travel,Other,"Bus: Route 48, 60 | Self-drive: Navigate to Quzhou City Park | Taxi/Ride-hailing: Directly locate",08:30-17:30,￥120,Paid,Baidu Map APP scenic spot ticket purchase | Douyin APP search for scenic area name group purchase,1-2 hours,Suitable all year round,Culture enthusiasts,"Quzhou City Park is a famous garden park attraction in Quzhou City, with beautiful scenery and a must-visit for tourists.",Garden park scenery|Beautiful environment|Suitable for photography|Convenient transportation,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/衢城市公园.webp,
Jinhua Science and Technology Museum,Zhejiang Province,Jinhua City,Dongyang City,East China,"No. 657 Beilu, Dongyang District, Jinhua City, Zhejiang Province",123.950948,44.25974,Museum,Museum,Family|Educational Travel,3A,"Bus: Route 28, 60 | Self-drive: Navigate to Jinhua Science and Technology Museum | Taxi/Ride-hailing: Directly locate",08:00-18:00,Free,Free,Baidu Maps App scenic spot ticket purchase | Dianping App search and buy tickets | Official WeChat public account of the scenic spot for reservation,1-2 hours,Summer: June–August,Outdoor enthusiasts,"The Jinhua Science and Technology Museum is located in Jinhua City and is a museum scenic area with pleasant scenery, suitable for family outings.",Natural Ecology|Museum Scenery|Parent-Child Friendly|High Cost-Effectiveness,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/金华科技馆.webp,
Jinhua Nature Reserve,Zhejiang Province,Jinhua City,Dongyang City,East China,"No. 192, Beilu, Dongyang City, Jinhua, Zhejiang Province",121.30333,38.967814,Natural scenery,Natural scenery,Culture|History,5A,"Bus: Route 29, Route 73 | Self-drive: Navigate to Jinhua Nature Reserve | Taxi/Ride-hailing: Direct navigation",08:00-18:00,￥120,Paid,Search for the scenic area name on Ctrip APP to purchase tickets | Purchase scenic area tickets via Baidu Maps APP | Group purchase via Douyin APP by searching the scenic area name,2-4 hours,Summer: June–August,Outdoor enthusiasts,"Jinhua Nature Reserve is a famous natural scenic spot in Jinhua City, with beautiful scenery and a must-visit destination for tourists.",Unique scenery|Natural landscape experience|Complete facilities|High-quality service,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/金华自然保护区.webp,
Jinhua Wetland Park,Zhejiang Province,Jinhua City,Dongyang City,East China,"No. 888, Xilu, Dongyang City, Jinhua, Zhejiang Province",121.112473,42.131347,Garden Park,Garden Park,Hiking|Photography,3A,"Bus: Route 30, Route 71 | Self-drive: Navigate to Jinhua Wetland Park | Taxi/Ride-hailing: Direct navigation",Open All Day,￥30,Paid,Search scenic area name on Meituan APP to reserve | Search scenic area name on Ctrip APP to purchase tickets,1-2 hours,Summer: June–August,Outdoor enthusiasts,"Jinhua Wetland Park is a well-known garden park scenic spot in Jinhua City, with a beautiful environment, making it an ideal place for leisure and vacation.",Garden park scenery|Beautiful environment|Suitable for photography|Convenient transportation,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/金华湿地公园.webp,
Jinhua Ancient Town,Zhejiang Province,Jinhua City,Dongyang City,East China,"No. 189, Donglu, Dongyang City, Jinhua, Zhejiang Province",126.136208,35.82614,Historical and cultural,Historical and cultural,Food|Shopping,4A,"Bus: Route 27, Route 91 | Self-drive: Navigate to Jinhua Ancient Town | Taxi/Ride-hailing: Direct navigation",08:30-17:30,￥100,Paid,Meituan APP search scenic spot name reservation | Tongcheng Travel APP online ticket purchase | Fliggy APP search scenic spot name ticket purchase,1-2 hours,Autumn: September–November,Outdoor enthusiasts,"Jinhua Ancient Town is a landmark historical and cultural scenic spot in Jinhua City, with a long history and profound cultural heritage.",Historical and Cultural Representative|Landmark Attraction|Must-Visit|Unforgettable Experience,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/金华古镇.webp,
Jinhua Tower,Zhejiang Province,Jinhua City,Dongyang City,East China,"No. 585, Beilu, Dongyang City, Jinhua, Zhejiang Province",107.436776,44.601834,Modern architecture,Modern architecture,Culture|History,3A,"Bus: Route 50, Route 71 | Self-drive: Navigate to Jinhua Tower | Taxi/Ride-hailing: Direct navigation",09:00-17:00,￥120,Paid,Gaode Map APP scenic spot ticket booking | Meituan APP search scenic spot name to reserve,4-6 hours,Suitable all year round,Culture enthusiasts,"Jinhua Tower is located in Jinhua City and is a modern architectural scenic area, featuring unique natural scenery and cultural landscapes.",Unique scenery|Modern architecture experience|Complete facilities|High-quality service,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/金华塔.webp,
Jinhua Guan,Zhejiang Province,Jinhua City,Dongyang City,East China,"No. 600, Donglu, Dongyang City, Jinhua, Zhejiang Province",110.063697,36.349687,Religious site,Religious site,Photography|Leisure,3A,"Bus: Route 49, Route 91 | Self-drive: Navigate to Jinhua Guan | Taxi/Ride-hailing: Direct navigation",08:00-18:00,￥120,Paid,Dianping APP search to buy tickets | Fliggy APP search scenic area name to buy tickets | Scenic area official website online booking,4-6 hours,Suitable all year round,All ages,"Jinhua Guan is located in Jinhua City and is a religious scenic area, with pleasant scenery, suitable for family outings.",Long history|Religious site features|Cultural heritage|Positive visitor reviews,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/金华观.webp,
Jinhua Ski Resort,Zhejiang Province,Jinhua City,Dongyang City,East China,"No. 150 Beilu, Dongyang Urban Area, Jinhua City, Zhejiang Province",115.766447,35.541683,Leisure vacation,Leisure vacation,Photography|Leisure,Other,"Bus: Route 48, 71 | Self-drive: Navigate to Jinhua Ski Resort | Taxi/Ride-hailing: Directly locate",Open All Day,￥30,Paid,Scenic spot official website online booking | Tongcheng Travel APP online ticket purchase | Douyin APP search scenic spot name for group purchase,Half day,Spring: March–May,Couples,"Jinhua Ski Resort is located in Jinhua City, a leisure and vacation scenic area with pleasant scenery, suitable for family outings.",Unique scenery|Leisure vacation experience|Complete facilities|High-quality service,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/金华滑雪场.webp,
Jinhua Golf Course,Zhejiang Province,Jinhua City,Dongyang City,East China,"No. 664 Donglu, Dongyang Urban Area, Jinhua City, Zhejiang Province",118.006744,40.899487,Leisure vacation,Leisure vacation,Family|Educational Travel,4A,"Bus: Route 26, 91 | Self-drive: Navigate to Jinhua Golf Course | Taxi/Ride-hailing: Directly locate",09:00-17:00,Free,Free,Search scenic spot name on Ctrip APP to purchase tickets | Search scenic spot name on Fliggy APP to purchase tickets,2-4 hours,Summer: June–August,Outdoor enthusiasts,"Jinhua Golf Course is a famous leisure and vacation attraction in Jinhua City, with beautiful scenery, a must-visit for tourists.",Unique scenery|Leisure vacation experience|Complete facilities|High-quality service,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/金华高尔夫球场.webp,
Sanya Golf Course,Hainan Province,Sanya City,Yazhou District,South China,"No. 149 Xilu, Yaxian District, Sanya City, Hainan Province",124.346877,44.089329,Leisure vacation,Leisure vacation,Photography|Leisure,3A,"Bus: Route 34, 66 | Self-drive: Navigate to Sanya Golf Course | Taxi/Ride-hailing: Directly locate",08:00-18:00,￥50,Paid,Ctrip App Search Scenic Spot Name to Buy Tickets | Gaode Map App Scenic Spot Ticket Booking | Fliggy App Search Scenic Spot Name to Buy Tickets,2-4 hours,Summer: June–August,Photography enthusiasts,"Sanya Golf Course is located in Sanya City, a leisure and vacation scenic area with pleasant scenery, suitable for family outings.",Natural Ecology|Leisure Vacation Scenery|Family-Friendly|High Cost-Effectiveness,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/三亚高尔夫球场.webp,
Sanya Temple,Hainan Province,Sanya City,Yazhou District,South China,"No. 70 Beilu, Yaxian District, Sanya City, Hainan Province",121.325163,39.723932,Religious site,Religious site,Photography|Leisure,4A,"Bus: Route 11, 64 | Self-drive: Navigate to Sanya Temple | Taxi/Ride-hailing: Directly locate",08:00-18:00,￥50,Paid,Baidu Map APP scenic spot ticket purchase | Fliggy APP search scenic spot name to buy tickets | Meituan APP search scenic spot name to reserve,1-2 hours,Summer: June–August,Couples,"Sanya Temple is located in Sanya City, a religious site scenic area with pleasant scenery, suitable for family outings.",Natural ecology|Religious site scenery|Family-friendly|High cost-effectiveness,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/三亚寺.webp,
Sanya Golf Course,Hainan Province,Sanya City,Yazhou District,South China,"No. 295, Xilu Road, Yazhou District, Sanya City, Hainan Province",112.878554,38.161435,Leisure vacation,Leisure vacation,Family|Educational Travel,3A,"Bus: Route 34, 100 | Self-drive: Navigate to Sanya Golf Course | Taxi/Ride-hailing: Directly locate",08:30-17:30,￥80,Paid,Gaode Map APP scenic spot ticket reservation | Dianping APP search and purchase tickets | Ctrip APP search scenic spot name to purchase tickets,2-4 hours,Suitable all year round,Culture enthusiasts,"Sanya Golf Course is a famous leisure and vacation attraction in Sanya City, with beautiful scenery and a must-visit destination for tourists.",Unique scenery|Leisure vacation experience|Complete facilities|High-quality service,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/三亚高尔夫球场.webp,
